,0
528,371.92
529,375.135
530,373.24
531,378.49
532,375.11
533,374.09
534,370.96
535,367.35
536,370.56
537,374.59
538,372.1
539,370.255
540,372.25
541,377.04
542,374.41
543,381.2
544,383.54
545,382.65
546,382.36
547,385.11
548,383.45
549,386.04
550,375.56
551,389.51
552,391.18
553,389.8
554,389.99
555,445.1
556,438.56
557,429.31
558,429.37
559,421.78
560,422.87
561,423.04
562,421.19
563,419.1
564,426.88
565,433.69
566,432.85
567,431.02
568,426.87
569,432.28
570,426.0
571,425.24
572,421.71
573,423.86
574,431.63
575,427.63
576,425.47
577,431.42
578,426.57
579,429.23
580,430.92
581,430.99
582,436.59
583,430.78
584,426.95
585,423.5
586,425.48
587,430.77
588,432.97
589,429.92
590,423.67
591,427.26
592,427.81
593,439.39
594,434.92
595,436.29
596,445.99
597,440.84
598,440.1
599,438.1
600,429.86
601,434.09
602,437.39
603,437.71
604,436.04
605,436.72
606,429.7
607,434.39
608,443.51
609,455.57
610,465.57
611,461.19
612,475.48
613,483.01
614,488.1
615,488.0
616,488.27
617,482.18
618,529.42
619,531.41
620,526.03
621,529.0
622,536.76
623,536.15
624,535.03
625,531.9
626,537.01
627,529.46
628,522.62
629,524.0
630,527.46
631,525.91
632,529.66
633,531.52
634,535.22
635,535.02
636,532.92
637,515.78
638,494.47
639,463.37
640,466.37
641,500.77
642,518.37
643,518.01
644,512.89
645,496.54
646,510.55
647,504.72
648,499.0
649,517.54
650,516.89
651,522.24
652,529.44
653,521.38
654,522.37
655,527.39
656,538.87
657,540.26
658,548.39
659,538.4
660,536.07
661,533.75
662,524.25
663,504.06
664,496.07
665,511.89
666,520.72
667,532.54
668,543.68
669,537.48
670,541.94
671,533.16
672,539.8
673,550.19
674,548.9
675,544.83
676,562.44
677,570.76
678,573.15
679,560.88
680,555.77
681,563.91
682,599.03
683,608.61
684,611.01
685,617.1
686,626.55
687,625.9
688,628.35
689,625.31
690,640.95
691,655.65
692,659.37
693,655.49
694,659.68
695,673.25
696,665.6
697,642.35
698,647.81
699,643.3
700,663.54
701,661.27
702,668.45
703,678.99
704,671.15
705,675.34
706,673.26
707,664.8
708,679.06
709,676.01
710,666.25
711,672.64
712,669.83
713,677.33
714,664.79
715,662.32
716,640.15
717,657.91
718,658.64
719,675.77
720,670.65
721,664.14
722,664.51
723,663.15
724,663.7
725,662.79
726,675.2
727,693.97
728,689.07
729,675.89
730,636.99
731,633.79
732,632.65
733,607.94
734,607.05
735,617.74
736,617.89
737,581.81
738,593.0
739,570.18
740,574.48
741,571.77
742,575.02
743,596.38
744,596.53
745,601.25
746,583.35
747,635.35
748,587.0
749,574.81
750,552.1
751,531.07
752,536.26
753,502.13
754,488.1
755,482.07
756,490.48
757,503.82
758,507.08
759,521.1
760,534.1
